,meeting_key,circuit_short_name,meeting_name,date_start
0,1229,Sakhir,Bahrain Grand Prix,2024-02-29T11:30:00+00:00
1,1230,Jeddah,Saudi Arabian Grand Prix,2024-03-07T13:30:00+00:00
2,1231,Melbourne,Australian Grand Prix,2024-03-22T01:30:00+00:00
3,1232,Suzuka,Japanese Grand Prix,2024-04-05T02:30:00+00:00
4,1233,Shanghai,Chinese Grand Prix,2024-04-19T03:30:00+00:00
5,1234,Miami,Miami Grand Prix,2024-05-03T16:30:00+00:00
6,1235,Imola,Emilia Romagna Grand Prix,2024-05-17T11:30:00+00:00
7,1236,Monte Carlo,Monaco Grand Prix,2024-05-24T11:30:00+00:00
8,1237,Montreal,Canadian Grand Prix,2024-06-07T17:30:00+00:00
9,1238,Catalunya,Spanish Grand Prix,2024-06-21T11:30:00+00:00
10,1239,Spielberg,Austrian Grand Prix,2024-06-28T10:30:00+00:00
11,1240,Silverstone,British Grand Prix,2024-07-05T11:30:00+00:00
12,1241,Hungaroring,Hungarian Grand Prix,2024-07-19T11:30:00+00:00
13,1242,Spa-Francorchamps,Belgian Grand Prix,2024-07-26T11:30:00+00:00
